gmyc_spec,sample_name
1,KC904098
1,KC904099
1,KC904100
1,KC904101
1,KC904102
2,KC904103
2,KC904104
2,KC904105
2,KC904106
2,KC904107
2,KC904108
2,KC904109
2,KC904110
2,KC904111
2,KC904112
2,KC904113
2,KC904114
2,KC904115
2,KC904116
2,KC904117
2,KC904118
3,KC904119
3,KC904120
3,KC904121
3,KC904122
3,KC904123
3,KC904124
3,KC904125
3,KC904126
3,KC904127
3,KC904128
3,KC904129
3,KC904130
3,KC904131
3,KC904132
3,KC904133
3,KC904134
3,KC904135
3,KC904136
3,KC904137
3,KC904138
3,KC904139
4,KC904140
4,KC904141
4,KC904142
4,KC904143
4,KC904144
4,KC904145
4,KC904146
4,KC904147
4,KC904148
4,KC904149
4,KC904150
4,KC904151
4,KC904152
4,KC904153
4,KC904154
4,KC904155
4,KC904156
4,KC904157
4,KC904158
4,KC904159
4,KC904160
4,KC904161
4,KC904162
4,KC904163
4,KC904164
4,KC904165
4,KC904166
4,KC904167
4,KC904168
4,KC904169
4,KC904170
4,KC904171
4,KC904172
4,KC904173
4,KC904174
4,KC904178
4,KC904179
4,KC904180
4,KC904181
4,KC904182
4,KC904183
4,KC904184
4,KC904185
4,KC904186
4,KC904187
4,KC904188
5,KC904189
5,KC904190
5,KC904191
5,KC904192
5,KC904193
5,KC904194
5,KC904195
5,KC904199
5,KC904200
5,KC904201
5,KC904202
5,KC904203
5,KC904204
5,KC904205
5,KC904206
5,KC904207
